Aatrox,TOP,Fair / B,43.15,+5.36,45.86%,95.00%,6.19%,10.28%,1.62,14.10,Iron
Ahri,MID,Strong / S,70.34,+0.18,48.00%,94.47%,11.08%,8.10%,2.19,14.10,Iron
Akali,MID,Strong / S,73.95,+1.21,48.39%,81.20%,10.07%,20.05%,2.15,14.10,Iron
Akali,TOP,Fair / B,42.66,-3.41,46.74%,17.50%,2.39%,20.05%,1.88,14.10,Iron
Akshan,MID,Good / A,62.70,+19.18,50.45%,80.47%,2.39%,4.08%,2.16,14.10,Iron
Akshan,TOP,Fair / B,44.57,+2.30,48.39%,10.53%,0.35%,4.08%,1.82,14.10,Iron
Alistar,SUPPORT,Fair / B,49.12,+5.00,49.03%,94.02%,2.57%,1.08%,2.30,14.10,Iron
Amumu,JUNGLE,God / S+,90.27,-1.03,51.97%,87.76%,5.70%,2.48%,2.43,14.10,Iron
Amumu,SUPPORT,Good / A,52.52,-3.34,50.48%,11.08%,0.63%,2.48%,2.01,14.10,Iron
Anivia,MID,Strong / S,63.79,-4.59,50.27%,70.29%,1.19%,1.00%,2.48,14.10,Iron
Anivia,SUPPORT,Bad / D,17.33,-13.07,45.18%,22.58%,0.33%,1.00%,2.15,14.10,Iron
Annie,MID,Fair / B,41.65,+7.33,48.37%,80.10%,1.62%,0.88%,1.99,14.10,Iron
Annie,SUPPORT,Bad / D,25.59,-15.87,46.62%,15.58%,0.29%,0.88%,2.00,14.10,Iron
Aphelios,ADC,Fair / B,39.24,+0.86,46.85%,96.46%,5.27%,1.61%,1.85,14.10,Iron
Ashe,ADC,Strong / S,69.43,-1.19,49.51%,75.01%,12.49%,8.13%,2.24,14.10,Iron
Ashe,SUPPORT,Bad / D,16.35,+2.37,44.53%,20.68%,3.62%,8.13%,1.84,14.10,Iron
Aurelion Sol,MID,Strong / S,72.04,-4.17,50.38%,88.47%,5.41%,4.95%,2.23,14.10,Iron
