Aatrox,TOP,Good / A,57.57,-6.94,46.59%,95.46%,8.76%,16.36%,1.71,14.3,Iron
Ahri,MID,Fair / B,42.06,-7.56,46.37%,92.75%,6.15%,2.59%,2.12,14.3,Iron
Akali,MID,Strong / S,63.86,-7.19,47.04%,80.24%,9.96%,21.98%,2.13,14.3,Iron
Akali,TOP,Weak / C,32.87,-8.75,45.14%,18.62%,2.38%,21.98%,1.85,14.3,Iron
Akshan,TOP,Good / A,56.64,+29.48,51.12%,13.07%,0.34%,2.38%,1.87,14.3,Iron
Akshan,MID,Good / A,49.73,+12.33,49.45%,76.89%,1.93%,2.38%,1.99,14.3,Iron
Alistar,SUPPORT,Fair / B,43.53,+1.02,48.17%,92.07%,2.74%,1.01%,2.20,14.3,Iron
Amumu,JUNGLE,Strong / S,66.48,+3.82,50.08%,85.15%,4.00%,1.39%,2.33,14.3,Iron
Amumu,SUPPORT,Fair / B,46.88,+6.54,49.79%,13.62%,0.57%,1.39%,2.02,14.3,Iron
Anivia,MID,Good / A,58.71,-2.21,49.40%,73.62%,1.67%,1.22%,2.55,14.3,Iron
Anivia,SUPPORT,Bad / D,17.43,+7.23,44.35%,21.44%,0.35%,1.22%,2.22,14.3,Iron
Annie,SUPPORT,Weak / C,36.38,+19.13,47.99%,14.37%,0.30%,0.67%,2.05,14.3,Iron
Annie,MID,Bad / D,27.81,-2.27,46.44%,80.67%,1.55%,0.67%,1.99,14.3,Iron
Aphelios,ADC,Weak / C,28.60,-15.42,47.09%,96.55%,3.96%,1.13%,1.83,14.3,Iron
Ashe,ADC,Good / A,55.37,+3.09,48.72%,70.62%,9.41%,4.77%,2.06,14.3,Iron
Ashe,SUPPORT,Weak / C,27.87,+0.43,45.51%,25.45%,3.71%,4.77%,1.88,14.3,Iron
Aurelion Sol,MID,God / S+,90.40,+20.78,52.69%,90.15%,5.66%,5.36%,2.42,14.3,Iron
Azir,MID,Weak / C,29.86,-6.96,46.65%,93.46%,3.39%,1.06%,1.75,14.3,Iron
Bard,SUPPORT,Good / A,58.51,+4.11,49.95%,96.19%,2.60%,0.86%,2.78,14.3,Iron
Bel'Veth,JUNGLE,Strong / S,66.26,+13.68,50.67%,97.28%,4.41%,4.51%,1.92,14.3,Iron
Blitzcrank,SUPPORT,Strong / S,63.25,-5.95,49.02%,98.17%,7.67%,25.20%,2.24,14.3,Iron
Brand,JUNGLE,God / S+,75.05,-11.87,51.16%,33.56%,4.70%,17.86%,2.19,14.3,Iron
Brand,SUPPORT,Strong / S,71.60,+1.75,51.88%,50.31%,6.21%,17.86%,1.94,14.3,Iron
Brand,MID,Good / A,57.40,-7.22,50.32%,12.62%,1.56%,17.86%,2.09,14.3,Iron
Braum,SUPPORT,Good / A,55.31,-13.34,49.72%,98.09%,2.25%,0.46%,2.65,14.3,Iron
Briar,JUNGLE,God / S+,90.97,+2.32,51.60%,93.45%,9.33%,23.07%,1.95,14.3,Iron
Caitlyn,ADC,Good / A,59.85,-8.55,46.83%,94.18%,16.77%,16.03%,1.96,14.3,Iron
Camille,SUPPORT,Good / A,56.37,-1.56,51.27%,23.24%,0.48%,0.88%,2.16,14.3,Iron
Camille,TOP,Bad / D,27.52,-0.56,45.39%,70.56%,1.61%,0.88%,1.61,14.3,Iron
Cassiopeia,MID,Fair / B,43.48,+4.03,48.78%,81.08%,1.40%,1.12%,1.98,14.3,Iron
Cassiopeia,TOP,Bad / D,23.59,-17.77,44.88%,12.02%,0.22%,1.12%,1.79,14.3,Iron
Cho'Gath,TOP,Fair / B,47.31,-6.46,48.02%,70.66%,2.66%,1.20%,1.90,14.3,Iron
Corki,MID,Bad / D,25.86,-12.76,46.15%,87.18%,1.73%,0.40%,1.97,14.3,Iron
Darius,TOP,Strong / S,64.90,-1.53,47.61%,92.72%,9.48%,17.64%,1.67,14.3,Iron
Diana,MID,Good / A,53.74,-6.43,49.53%,42.69%,3.27%,2.26%,1.98,14.3,Iron
Diana,JUNGLE,Fair / B,41.73,-3.57,46.73%,54.78%,3.93%,2.26%,1.86,14.3,Iron
Dr. Mundo,TOP,Strong / S,73.16,+3.22,52.55%,89.24%,3.50%,2.84%,1.94,14.3,Iron
Draven,ADC,Weak / C,33.63,-6.95,47.33%,95.24%,4.09%,11.30%,1.96,14.3,Iron
