Aatrox,TOP,Fair / B,50.18,+4.66,46.73%,95.19%,6.72%,10.53%,1.71,14.21,Iron
Ahri,MID,God / S+,78.48,+6.94,48.49%,94.67%,12.65%,6.71%,2.27,14.21,Iron
Akali,MID,Strong / S,64.40,+3.18,48.07%,87.16%,8.94%,13.17%,2.14,14.21,Iron
Akali,TOP,Fair / B,43.05,-2.81,47.10%,11.57%,1.31%,13.17%,1.99,14.21,Iron
Akshan,ADC,Weak / C,32.83,+3.72,47.89%,12.04%,0.18%,1.18%,1.92,14.21,Iron
Akshan,MID,Bad / D,26.97,+8.16,46.63%,77.16%,1.21%,1.18%,1.96,14.21,Iron
Alistar,SUPPORT,Fair / B,41.00,-1.59,48.18%,93.83%,2.71%,1.12%,2.21,14.21,Iron
Amumu,JUNGLE,God / S+,90.02,+1.33,53.03%,90.63%,6.97%,7.39%,2.38,14.21,Iron
Anivia,MID,Strong / S,64.88,-1.70,50.01%,70.17%,1.49%,1.40%,2.63,14.21,Iron
Anivia,SUPPORT,Bad / D,14.57,+3.87,44.66%,22.51%,0.39%,1.40%,2.22,14.21,Iron
Annie,SUPPORT,Fair / B,49.42,+22.69,50.24%,17.78%,0.28%,0.62%,2.11,14.21,Iron
Annie,MID,Fair / B,38.47,+6.87,48.09%,77.58%,1.31%,0.62%,1.99,14.21,Iron
Aphelios,ADC,Fair / B,41.80,+0.06,48.43%,95.90%,3.67%,1.24%,1.91,14.21,Iron
Ashe,ADC,Strong / S,70.81,+7.74,48.73%,89.55%,16.34%,8.88%,2.25,14.21,Iron
Aurelion Sol,MID,Strong / S,66.47,-18.56,50.23%,84.76%,3.27%,2.28%,2.37,14.21,Iron
Aurora,MID,Fair / B,43.13,-2.35,47.52%,57.76%,2.53%,8.76%,2.27,14.21,Iron
Aurora,TOP,Weak / C,35.47,-3.88,45.31%,35.98%,1.73%,8.76%,1.98,14.21,Iron
Azir,MID,Bad / D,7.08,+1.20,44.61%,90.27%,1.66%,0.51%,1.63,14.21,Iron
Bard,SUPPORT,Weak / C,28.96,+2.79,46.04%,94.73%,1.58%,0.47%,2.61,14.21,Iron
Bel'Veth,JUNGLE,Weak / C,34.40,-7.82,47.08%,94.93%,1.77%,1.75%,1.84,14.21,Iron
Blitzcrank,SUPPORT,Fair / B,49.92,+3.69,48.20%,98.27%,6.23%,19.93%,2.26,14.21,Iron
Brand,SUPPORT,Good / A,61.34,-9.00,50.68%,67.27%,5.98%,12.39%,1.92,14.21,Iron
Brand,MID,Good / A,59.86,-7.83,50.61%,17.32%,1.52%,12.39%,2.09,14.21,Iron
Braum,SUPPORT,Good / A,56.27,+3.96,49.74%,98.48%,3.34%,1.27%,2.67,14.21,Iron
Briar,JUNGLE,Strong / S,68.20,-7.98,50.94%,93.45%,5.37%,9.54%,1.92,14.21,Iron
Caitlyn,ADC,God / S+,95.47,+13.67,49.72%,95.25%,23.30%,26.01%,2.11,14.21,Iron
Camille,TOP,Bad / D,23.87,-7.77,43.54%,80.39%,2.21%,1.70%,1.62,14.21,Iron
Camille,SUPPORT,Bad / D,13.91,-18.59,45.11%,13.43%,0.34%,1.70%,1.83,14.21,Iron
Cassiopeia,TOP,Fair / B,39.73,-7.03,47.40%,17.43%,0.29%,1.04%,1.79,14.21,Iron
Cassiopeia,MID,Weak / C,32.79,-2.23,47.43%,71.91%,1.22%,1.04%,1.96,14.21,Iron
Cho'Gath,TOP,Strong / S,63.36,-1.54,50.16%,70.05%,4.30%,1.98%,2.02,14.21,Iron
Corki,ADC,Good / A,52.74,+19.51,49.21%,46.55%,2.03%,1.74%,2.35,14.21,Iron
Corki,MID,Bad / D,22.36,+22.36,45.96%,49.11%,1.75%,1.74%,1.90,14.21,Iron
Darius,TOP,Good / A,53.70,+2.99,46.38%,91.30%,8.49%,17.46%,1.67,14.21,Iron
Diana,JUNGLE,Strong / S,63.36,+0.43,49.69%,60.90%,6.23%,3.79%,1.96,14.21,Iron
Diana,MID,Good / A,58.63,+4.25,50.04%,36.76%,3.71%,3.79%,1.95,14.21,Iron
Dr. Mundo,JUNGLE,God / S+,78.84,NEW,54.16%,10.36%,0.58%,5.23%,2.54,14.21,Iron
Dr. Mundo,TOP,God / S+,75.19,+0.52,52.46%,83.03%,4.80%,5.23%,2.00,14.21,Iron
Draven,ADC,Weak / C,30.89,-1.04,46.68%,94.58%,4.07%,14.19%,1.92,14.21,Iron
Ekko,MID,Good / A,51.83,+3.97,49.51%,35.45%,1.56%,1.36%,2.11,14.21,Iron
Ekko,JUNGLE,Good / A,50.89,+2.07,48.58%,59.69%,2.98%,1.36%,2.22,14.21,Iron
Elise,JUNGLE,Fair / B,45.06,+12.76,48.30%,91.42%,1.69%,1.30%,2.17,14.21,Iron
Evelynn,JUNGLE,Weak / C,34.36,+1.38,45.77%,96.18%,2.74%,1.82%,2.18,14.21,Iron
Ezreal,ADC,Good / A,52.48,+1.93,46.99%,91.77%,12.45%,5.30%,2.32,14.21,Iron
Fiddlesticks,SUPPORT,Fair / B,41.68,-5.10,49.18%,11.39%,0.45%,1.19%,1.98,14.21,Iron
Fiddlesticks,JUNGLE,Fair / B,37.96,-12.00,46.56%,76.41%,2.84%,1.19%,2.10,14.21,Iron
Fiora,TOP,Weak / C,34.78,+3.52,46.11%,95.84%,2.41%,2.84%,1.49,14.21,Iron
Fizz,MID,Good / A,51.42,-0.82,48.30%,93.71%,4.31%,8.62%,2.13,14.21,Iron
Galio,MID,God / S+,90.75,+4.51,52.30%,75.22%,4.63%,3.11%,2.66,14.21,Iron
Galio,SUPPORT,Good / A,56.04,-1.47,50.76%,17.45%,1.04%,3.11%,2.34,14.21,Iron
Gangplank,MID,Good / A,57.65,+22.82,50.61%,10.60%,0.27%,0.93%,2.17,14.21,Iron
Gangplank,TOP,Fair / B,40.65,+8.33,46.55%,86.53%,1.99%,0.93%,1.91,14.21,Iron
Garen,TOP,Strong / S,68.51,+1.15,49.74%,83.49%,7.99%,5.94%,1.92,14.21,Iron
Gnar,TOP,Fair / B,43.72,+3.40,46.91%,93.55%,3.32%,0.79%,1.80,14.21,Iron
Gragas,MID,Good / A,56.20,+17.47,50.63%,10.18%,0.53%,1.29%,2.05,14.21,Iron
Gragas,TOP,Weak / C,32.50,+0.76,44.82%,39.61%,2.20%,1.29%,1.86,14.21,Iron
Gragas,JUNGLE,Bad / D,20.59,-6.43,43.96%,42.16%,2.29%,1.29%,1.98,14.21,Iron
Graves,JUNGLE,Strong / S,64.17,+10.47,49.25%,93.50%,6.02%,3.41%,2.26,14.21,Iron
Gwen,JUNGLE,Fair / B,40.25,-9.93,48.22%,21.89%,1.05%,2.99%,1.97,14.21,Iron
Gwen,TOP,Weak / C,33.92,-8.59,45.38%,72.95%,3.40%,2.99%,1.54,14.21,Iron
Hecarim,JUNGLE,Weak / C,35.22,+0.76,46.07%,98.95%,2.45%,1.33%,2.19,14.21,Iron
Heimerdinger,MID,Strong / S,69.41,+9.90,52.51%,26.62%,1.25%,5.44%,1.91,14.21,Iron
Heimerdinger,TOP,Good / A,56.33,-2.57,50.31%,53.86%,2.47%,5.44%,1.65,14.21,Iron
Heimerdinger,SUPPORT,Fair / B,42.06,-6.51,49.49%,11.48%,0.51%,5.44%,1.78,14.21,Iron
Hwei,MID,Good / A,57.72,+0.03,49.01%,70.73%,4.17%,4.49%,2.24,14.21,Iron
Hwei,SUPPORT,Fair / B,45.18,-1.15,49.16%,19.94%,1.13%,4.49%,2.25,14.21,Iron
Illaoi,TOP,God / S+,75.23,+0.36,52.06%,94.09%,6.14%,23.99%,1.64,14.21,Iron
Irelia,MID,Fair / B,38.28,+1.89,47.92%,58.77%,3.47%,6.16%,1.71,14.21,Iron
Irelia,TOP,Weak / C,36.52,+8.76,46.33%,38.92%,2.61%,6.16%,1.51,14.21,Iron
Ivern,JUNGLE,Weak / C,36.07,-0.20,45.97%,74.97%,0.83%,0.36%,2.66,14.21,Iron
Ivern,SUPPORT,Bad / D,16.46,+14.08,45.02%,19.35%,0.17%,0.36%,2.22,14.21,Iron
