Aatrox,TOP,Good / A,60.55,+2.97,46.71%,94.82%,8.18%,14.09%,1.67,14.4,Iron
Ahri,MID,Strong / S,74.34,+32.28,48.86%,93.84%,9.56%,4.01%,2.28,14.4,Iron
Akali,MID,Strong / S,63.76,-0.10,46.99%,80.62%,9.53%,20.00%,2.12,14.4,Iron
Akali,TOP,Weak / C,37.33,+4.46,46.12%,18.02%,2.29%,20.00%,1.83,14.4,Iron
Akshan,TOP,Good / A,55.81,-0.83,50.45%,11.09%,0.31%,2.37%,1.76,14.4,Iron
Akshan,MID,Weak / C,34.39,-15.34,46.63%,77.74%,1.91%,2.37%,1.95,14.4,Iron
Alistar,SUPPORT,Good / A,55.46,+11.94,49.61%,92.63%,2.80%,0.98%,2.25,14.4,Iron
Amumu,JUNGLE,Strong / S,64.53,-1.95,49.50%,84.50%,4.11%,1.40%,2.30,14.4,Iron
Amumu,SUPPORT,Weak / C,29.61,-17.27,47.20%,14.22%,0.59%,1.40%,1.90,14.4,Iron
Anivia,MID,Good / A,62.05,+3.35,49.62%,73.55%,1.51%,1.11%,2.46,14.4,Iron
Anivia,SUPPORT,Bad / D,0.00,-17.43,42.73%,20.81%,0.33%,1.11%,2.04,14.4,Iron
Annie,SUPPORT,Bad / D,21.79,-14.60,46.06%,15.51%,0.31%,0.72%,1.97,14.4,Iron
Annie,MID,Bad / D,21.04,-6.77,44.68%,79.58%,1.71%,0.72%,1.96,14.4,Iron
Aphelios,ADC,Weak / C,32.52,+3.92,47.24%,96.09%,3.85%,0.99%,1.79,14.4,Iron
Ashe,ADC,Good / A,53.46,-1.91,47.74%,71.47%,9.99%,4.93%,2.06,14.4,Iron
Ashe,SUPPORT,Bad / D,24.06,-3.81,45.44%,24.48%,3.55%,4.93%,1.86,14.4,Iron
Aurelion Sol,MID,God / S+,92.41,+2.01,52.86%,88.03%,5.04%,4.41%,2.44,14.4,Iron
Azir,MID,Weak / C,30.84,+0.98,46.15%,92.15%,3.54%,1.06%,1.70,14.4,Iron
Bard,SUPPORT,Good / A,50.18,-8.33,48.59%,93.93%,2.10%,0.65%,2.59,14.4,Iron
Bel'Veth,JUNGLE,Strong / S,75.38,+9.12,51.32%,97.07%,4.75%,5.55%,1.96,14.4,Iron
Blitzcrank,SUPPORT,Strong / S,69.77,+6.53,49.32%,98.02%,7.61%,24.76%,2.22,14.4,Iron
Brand,SUPPORT,God / S+,79.40,+7.80,51.91%,53.25%,6.44%,15.48%,1.95,14.4,Iron
Brand,JUNGLE,Strong / S,74.89,-0.16,50.98%,28.25%,3.82%,15.48%,2.19,14.4,Iron
Brand,MID,Good / A,62.69,+5.29,50.44%,14.81%,1.63%,15.48%,2.12,14.4,Iron
Braum,SUPPORT,Strong / S,66.75,+11.44,50.75%,97.47%,2.34%,0.46%,2.66,14.4,Iron
Briar,JUNGLE,God / S+,93.66,+2.69,51.29%,93.79%,8.65%,21.94%,1.94,14.4,Iron
Caitlyn,ADC,Strong / S,65.58,+5.73,47.33%,94.34%,15.91%,14.78%,1.97,14.4,Iron
Camille,SUPPORT,Good / A,51.40,-4.98,50.05%,30.61%,0.86%,1.02%,1.99,14.4,Iron
Camille,TOP,Bad / D,9.85,-17.67,43.09%,62.51%,1.68%,1.02%,1.57,14.4,Iron
Cassiopeia,TOP,Fair / B,43.96,+20.37,48.72%,13.53%,0.26%,1.15%,1.72,14.4,Iron
Cassiopeia,MID,Fair / B,42.41,-1.06,47.94%,78.20%,1.40%,1.15%,1.98,14.4,Iron
Cho'Gath,TOP,Fair / B,40.89,-6.42,46.78%,70.15%,2.39%,1.04%,1.87,14.4,Iron
Cho'Gath,SUPPORT,Fair / B,38.06,NEW,48.45%,10.47%,0.33%,1.04%,1.92,14.4,Iron
Corki,MID,Bad / D,20.96,-4.89,45.16%,86.04%,1.08%,0.25%,1.86,14.4,Iron
Darius,TOP,God / S+,76.68,+11.78,47.78%,92.66%,10.06%,18.33%,1.68,14.4,Iron
Diana,MID,Fair / B,46.40,-7.34,47.94%,44.10%,3.19%,2.19%,1.96,14.4,Iron
Diana,JUNGLE,Fair / B,40.57,-1.16,47.29%,53.10%,3.71%,2.19%,1.88,14.4,Iron
Dr. Mundo,TOP,Strong / S,68.57,-4.59,50.50%,87.42%,3.25%,2.75%,1.91,14.4,Iron
Draven,ADC,Weak / C,30.07,-3.56,46.47%,94.63%,4.01%,11.07%,1.89,14.4,Iron
Ekko,MID,Good / A,58.75,+7.49,49.60%,46.00%,3.14%,2.45%,2.04,14.4,Iron
Ekko,JUNGLE,Fair / B,49.77,+4.08,48.14%,50.31%,3.50%,2.45%,2.11,14.4,Iron
Elise,JUNGLE,Weak / C,28.02,+5.74,46.45%,91.10%,1.07%,0.44%,2.02,14.4,Iron
Evelynn,JUNGLE,Good / A,51.58,-1.00,47.22%,98.16%,5.43%,6.93%,2.21,14.4,Iron
Ezreal,ADC,Good / A,53.54,-5.11,46.21%,91.86%,14.36%,5.92%,2.12,14.4,Iron
Fiddlesticks,SUPPORT,Weak / C,34.43,-13.74,47.95%,11.06%,0.32%,0.82%,1.91,14.4,Iron
Fiddlesticks,JUNGLE,Weak / C,30.48,-9.75,46.25%,81.43%,2.24%,0.82%,2.03,14.4,Iron
Fiora,TOP,Fair / B,47.76,-0.28,48.04%,96.36%,3.55%,5.40%,1.52,14.4,Iron
Fizz,MID,Strong / S,63.81,+5.61,48.83%,95.95%,5.55%,16.13%,2.15,14.4,Iron
Galio,MID,Strong / S,69.51,+14.63,50.82%,72.82%,2.30%,0.84%,2.32,14.4,Iron
Galio,SUPPORT,Weak / C,35.19,-10.54,47.58%,20.79%,0.57%,0.84%,2.17,14.4,Iron
Gangplank,MID,Weak / C,33.13,-22.64,46.57%,13.35%,0.36%,1.67%,2.13,14.4,Iron
Gangplank,TOP,Weak / C,28.18,-0.85,45.01%,84.18%,2.20%,1.67%,1.83,14.4,Iron
