Aatrox,TOP,Good / A,55.77,+14.66,47.12%,95.43%,7.49%,11.06%,1.73,14.23,Iron
Ahri,MID,Strong / S,64.85,-13.05,48.19%,96.21%,12.28%,7.38%,2.32,14.23,Iron
Akali,MID,Good / A,59.48,+1.84,48.64%,87.59%,8.77%,11.62%,2.15,14.23,Iron
Akali,TOP,Good / A,51.66,+7.56,49.28%,11.03%,1.31%,11.62%,1.96,14.23,Iron
Akshan,MID,Fair / B,42.16,+15.00,48.35%,78.32%,1.39%,1.41%,1.92,14.23,Iron
Akshan,ADC,Weak / C,28.75,-0.61,45.45%,14.24%,0.19%,1.41%,1.94,14.23,Iron
Alistar,SUPPORT,Good / A,55.85,+24.62,51.16%,92.02%,2.62%,1.15%,2.36,14.23,Iron
Ambessa,TOP,God / S+,78.49,+9.93,49.96%,59.24%,7.84%,39.87%,1.77,14.23,Iron
Ambessa,JUNGLE,Weak / C,27.43,-19.21,44.62%,32.99%,3.90%,39.87%,1.88,14.23,Iron
Amumu,JUNGLE,God / S+,75.21,-11.44,52.41%,88.93%,5.71%,4.91%,2.38,14.23,Iron
Amumu,SUPPORT,Bad / D,7.61,NEW,42.11%,10.18%,0.55%,4.91%,1.85,14.23,Iron
Anivia,MID,Fair / B,41.48,-14.43,46.15%,64.41%,1.17%,1.18%,2.70,14.23,Iron
Anivia,SUPPORT,Bad / D,16.71,-4.80,43.55%,27.93%,0.35%,1.18%,2.24,14.23,Iron
Annie,SUPPORT,Strong / S,70.95,+34.04,55.56%,19.15%,0.24%,0.47%,2.07,14.23,Iron
Annie,MID,Weak / C,34.57,+5.33,45.76%,75.32%,1.21%,0.47%,2.17,14.23,Iron
Aphelios,ADC,Weak / C,35.37,-5.70,46.59%,95.92%,3.84%,1.16%,1.87,14.23,Iron
Ashe,ADC,Good / A,59.57,-7.87,48.71%,91.06%,17.26%,11.00%,2.26,14.23,Iron
Aurelion Sol,MID,Strong / S,66.47,-4.43,52.74%,83.91%,2.63%,1.83%,2.45,14.23,Iron
Aurora,TOP,Fair / B,44.64,+14.62,47.12%,30.41%,1.38%,6.60%,2.16,14.23,Iron
Aurora,MID,Weak / C,28.84,-3.09,43.16%,61.99%,2.52%,6.60%,2.34,14.23,Iron
Azir,MID,Weak / C,30.30,+24.72,45.30%,92.86%,2.25%,0.67%,1.76,14.23,Iron
Bard,SUPPORT,Weak / C,39.06,+5.19,47.42%,94.63%,1.46%,0.43%,2.66,14.23,Iron
Bel'Veth,JUNGLE,Bad / D,17.96,-12.68,45.54%,95.95%,1.29%,1.21%,1.79,14.23,Iron
Blitzcrank,SUPPORT,Fair / B,46.74,-3.44,47.56%,98.37%,6.72%,20.91%,2.31,14.23,Iron
Brand,MID,Strong / S,65.28,+11.08,53.50%,15.17%,1.33%,9.37%,2.25,14.23,Iron
Brand,SUPPORT,Fair / B,48.26,-10.63,49.27%,72.53%,5.45%,9.37%,1.87,14.23,Iron
Braum,SUPPORT,Fair / B,50.02,-6.82,49.25%,98.95%,3.41%,1.32%,2.64,14.23,Iron
Briar,JUNGLE,God / S+,76.75,+0.11,53.69%,92.94%,4.81%,6.77%,2.11,14.23,Iron
Caitlyn,ADC,Strong / S,64.96,-26.30,47.18%,95.20%,26.59%,28.12%,2.03,14.23,Iron
Camille,TOP,Bad / D,22.98,+0.56,42.86%,80.13%,1.94%,0.97%,1.71,14.23,Iron
Cassiopeia,MID,Fair / B,40.29,-3.41,47.93%,72.22%,1.25%,1.05%,1.92,14.23,Iron
Cho'Gath,TOP,Strong / S,63.27,-7.03,50.40%,70.27%,4.24%,1.90%,2.01,14.23,Iron
Cho'Gath,SUPPORT,Weak / C,34.96,+1.25,47.93%,11.28%,0.66%,1.90%,1.88,14.23,Iron
Corki,ADC,Weak / C,37.84,-3.11,46.69%,60.81%,2.65%,2.20%,2.17,14.23,Iron
Corki,MID,Weak / C,30.40,+4.67,45.56%,35.81%,1.20%,2.20%,1.84,14.23,Iron
Darius,TOP,Good / A,55.08,+2.90,46.07%,91.45%,8.72%,16.60%,1.65,14.23,Iron
Diana,JUNGLE,Strong / S,66.72,+6.79,51.96%,60.39%,5.35%,3.15%,2.00,14.23,Iron
Diana,MID,Good / A,53.98,+0.64,50.64%,36.77%,3.10%,3.15%,1.94,14.23,Iron
Dr. Mundo,JUNGLE,God / S+,81.33,+9.12,55.12%,11.08%,0.69%,4.73%,2.77,14.23,Iron
Dr. Mundo,TOP,Strong / S,71.05,-9.41,51.65%,82.11%,4.95%,4.73%,2.06,14.23,Iron
Draven,ADC,Fair / B,40.75,+7.13,47.88%,94.97%,3.52%,10.80%,1.89,14.23,Iron
Ekko,JUNGLE,Fair / B,50.64,+1.48,49.10%,60.83%,3.93%,1.19%,2.29,14.23,Iron
Ekko,MID,Fair / B,43.75,-6.25,47.99%,35.34%,1.98%,1.19%,2.11,14.23,Iron
Elise,JUNGLE,Weak / C,31.44,-2.88,46.71%,93.25%,1.38%,1.13%,2.34,14.23,Iron
Evelynn,JUNGLE,Bad / D,5.90,-17.08,42.08%,98.78%,2.33%,1.77%,2.13,14.23,Iron
Ezreal,ADC,Fair / B,48.24,+1.66,47.17%,92.32%,11.54%,4.39%,2.29,14.23,Iron
Fiddlesticks,SUPPORT,Strong / S,72.15,+17.35,55.88%,13.88%,0.43%,0.97%,1.99,14.23,Iron
Fiddlesticks,JUNGLE,Weak / C,34.98,-6.13,47.34%,76.73%,2.11%,0.97%,2.19,14.23,Iron
Fiora,TOP,Bad / D,22.21,-9.79,43.06%,96.77%,2.41%,2.40%,1.44,14.23,Iron
Fizz,MID,Good / A,58.51,+1.98,50.07%,94.39%,4.47%,7.70%,2.33,14.23,Iron
Galio,MID,God / S+,74.95,-16.22,52.04%,80.77%,7.22%,6.60%,2.74,14.23,Iron
Galio,SUPPORT,Fair / B,48.93,-0.79,50.00%,13.99%,1.20%,6.60%,2.40,14.23,Iron
Gangplank,TOP,Good / A,56.55,+20.29,50.22%,88.08%,1.77%,0.94%,1.98,14.23,Iron
