Aatrox,TOP,Weak / C,37.78,-11.84,44.80%,94.38%,6.83%,11.41%,1.59,14.9,Iron
Ahri,MID,Strong / S,70.16,-8.57,48.25%,94.06%,10.33%,8.87%,2.23,14.9,Iron
Akali,MID,Strong / S,72.73,+4.03,48.06%,80.72%,10.35%,20.39%,2.22,14.9,Iron
Akali,TOP,Fair / B,46.06,+12.65,47.53%,17.95%,2.55%,20.39%,1.91,14.9,Iron
Akshan,MID,Fair / B,43.52,-4.00,48.34%,77.68%,1.93%,2.64%,2.05,14.9,Iron
Akshan,TOP,Fair / B,42.27,+10.88,48.53%,10.44%,0.30%,2.64%,1.76,14.9,Iron
Alistar,SUPPORT,Fair / B,44.12,+1.94,48.63%,93.07%,2.51%,1.06%,2.22,14.9,Iron
Amumu,JUNGLE,God / S+,91.30,+20.11,52.64%,86.45%,5.26%,1.96%,2.50,14.9,Iron
Amumu,SUPPORT,Good / A,55.86,+10.97,51.12%,12.10%,0.67%,1.96%,2.08,14.9,Iron
Anivia,MID,Strong / S,68.39,+6.09,50.59%,69.08%,1.29%,1.12%,2.56,14.9,Iron
Anivia,SUPPORT,Weak / C,30.40,+18.24,47.32%,23.28%,0.37%,1.12%,2.14,14.9,Iron
Annie,SUPPORT,Fair / B,41.46,+21.23,49.03%,17.55%,0.35%,0.82%,2.10,14.9,Iron
Annie,MID,Weak / C,34.32,+2.51,47.22%,77.63%,1.70%,0.82%,2.05,14.9,Iron
Aphelios,ADC,Fair / B,38.38,-0.51,48.49%,96.90%,4.07%,1.16%,1.93,14.9,Iron
Ashe,ADC,Strong / S,70.62,+3.43,49.22%,75.70%,13.15%,7.33%,2.17,14.9,Iron
Ashe,SUPPORT,Bad / D,13.98,-0.03,44.33%,20.07%,3.64%,7.33%,1.81,14.9,Iron
Aurelion Sol,MID,God / S+,76.22,-14.96,50.83%,88.10%,4.97%,5.45%,2.35,14.9,Iron
Azir,MID,Bad / D,6.45,+0.87,44.10%,91.67%,2.84%,0.91%,1.66,14.9,Iron
Bard,SUPPORT,Weak / C,35.95,-0.07,47.31%,91.44%,1.34%,0.43%,2.53,14.9,Iron
Bel'Veth,JUNGLE,Fair / B,46.87,-20.82,49.11%,95.17%,2.77%,3.70%,1.86,14.9,Iron
Blitzcrank,SUPPORT,Good / A,63.96,-0.04,49.35%,98.17%,7.46%,27.50%,2.25,14.9,Iron
Brand,MID,God / S+,84.96,+8.30,52.95%,24.84%,3.10%,13.74%,2.19,14.9,Iron
Brand,SUPPORT,Strong / S,72.04,+0.27,51.72%,53.79%,6.84%,13.74%,1.91,14.9,Iron
Brand,JUNGLE,Strong / S,64.32,+1.92,50.84%,16.55%,2.15%,13.74%,2.19,14.9,Iron
Braum,SUPPORT,Strong / S,64.06,+4.20,50.91%,98.16%,2.69%,0.71%,2.68,14.9,Iron
