Aatrox,TOP,Fair / B,49.63,-1.10,46.83%,93.77%,6.67%,11.18%,1.65,14.8,Iron
Ahri,MID,God / S+,78.73,-0.46,49.12%,94.08%,10.78%,10.51%,2.27,14.8,Iron
Akali,MID,Strong / S,68.70,+11.08,47.96%,79.25%,9.78%,19.00%,2.18,14.8,Iron
Akali,TOP,Weak / C,33.42,+3.28,45.37%,19.22%,2.54%,19.00%,1.86,14.8,Iron
Akshan,MID,Fair / B,47.52,+2.49,48.70%,73.78%,1.75%,2.47%,2.05,14.8,Iron
Akshan,TOP,Weak / C,31.38,-11.43,46.57%,12.49%,0.29%,2.47%,1.73,14.8,Iron
Akshan,ADC,Bad / D,10.23,-13.49,45.33%,11.10%,0.25%,2.47%,1.96,14.8,Iron
Alistar,SUPPORT,Fair / B,42.18,-0.06,48.11%,92.13%,2.59%,1.06%,2.17,14.8,Iron
Amumu,JUNGLE,Strong / S,71.19,+6.64,50.66%,82.59%,3.85%,1.42%,2.34,14.8,Iron
Amumu,SUPPORT,Fair / B,44.88,-13.39,49.43%,15.80%,0.61%,1.42%,1.96,14.8,Iron
Anivia,MID,Good / A,62.30,+0.00,49.88%,66.64%,1.33%,1.15%,2.44,14.8,Iron
Anivia,SUPPORT,Bad / D,12.16,+3.81,44.07%,25.20%,0.41%,1.15%,2.19,14.8,Iron
Annie,MID,Weak / C,31.81,-2.68,46.58%,75.68%,1.88%,0.92%,2.02,14.8,Iron
Annie,SUPPORT,Bad / D,20.23,-3.90,45.50%,19.62%,0.44%,0.92%,2.07,14.8,Iron
Aphelios,ADC,Fair / B,38.89,-0.27,48.33%,96.59%,4.12%,1.12%,1.87,14.8,Iron
Ashe,ADC,Strong / S,67.19,-2.58,48.84%,76.81%,12.33%,7.03%,2.14,14.8,Iron
Ashe,SUPPORT,Bad / D,14.01,+2.45,44.15%,18.71%,3.01%,7.03%,1.80,14.8,Iron
Aurelion Sol,MID,God / S+,91.18,-1.02,52.31%,88.22%,5.88%,6.34%,2.42,14.8,Iron
Azir,MID,Bad / D,5.58,-16.61,43.60%,90.02%,3.24%,1.00%,1.60,14.8,Iron
Bard,SUPPORT,Weak / C,36.02,-0.82,47.11%,92.69%,1.41%,0.49%,2.43,14.8,Iron
Bel'Veth,JUNGLE,Strong / S,67.69,+11.45,51.38%,96.09%,2.97%,3.86%,1.94,14.8,Iron
Blitzcrank,SUPPORT,Strong / S,64.00,-2.58,49.10%,98.30%,7.66%,27.58%,2.25,14.8,Iron
Brand,MID,God / S+,76.66,+9.83,52.02%,20.58%,2.27%,12.75%,2.21,14.8,Iron
Brand,SUPPORT,Strong / S,71.77,+4.06,51.69%,58.22%,6.52%,12.75%,1.92,14.8,Iron
Brand,JUNGLE,Good / A,62.40,+2.23,50.53%,15.93%,1.97%,12.75%,2.16,14.8,Iron
Braum,SUPPORT,Good / A,59.86,-2.83,50.13%,97.74%,2.75%,0.72%,2.62,14.8,Iron
Briar,JUNGLE,God / S+,91.13,-1.81,52.10%,93.04%,7.24%,19.36%,2.00,14.8,Iron
Caitlyn,ADC,Strong / S,74.52,+3.17,48.05%,93.51%,17.10%,15.56%,2.02,14.8,Iron
Camille,TOP,Weak / C,30.35,+6.07,45.54%,57.95%,2.66%,2.63%,1.66,14.8,Iron
Camille,SUPPORT,Weak / C,28.31,-12.26,46.84%,37.01%,1.51%,2.63%,1.80,14.8,Iron
Cassiopeia,MID,Good / A,50.10,+8.88,49.29%,73.21%,1.31%,1.32%,2.02,14.8,Iron
Cassiopeia,TOP,Fair / B,44.25,+1.99,48.62%,15.90%,0.28%,1.32%,1.78,14.8,Iron
Cho'Gath,TOP,Good / A,57.52,-1.20,49.28%,68.94%,2.87%,1.32%,1.96,14.8,Iron
Cho'Gath,SUPPORT,Fair / B,39.71,-7.11,48.65%,11.41%,0.47%,1.32%,1.97,14.8,Iron
Corki,MID,Bad / D,13.65,-13.93,44.60%,84.24%,1.35%,0.30%,1.89,14.8,Iron
