Aatrox,TOP,Fair / B,47.41,-6.97,45.64%,94.44%,7.09%,12.97%,1.62,14.6,Iron
Ahri,MID,God / S+,81.29,+8.06,48.30%,94.55%,12.14%,9.89%,2.24,14.6,Iron
Akali,MID,Good / A,59.75,+1.32,46.73%,79.98%,8.90%,18.14%,2.12,14.6,Iron
Akali,TOP,Fair / B,40.39,-1.34,46.88%,18.34%,2.19%,18.14%,1.84,14.6,Iron
Akshan,MID,Fair / B,43.97,+8.75,47.87%,74.89%,1.75%,2.33%,2.04,14.6,Iron
Akshan,TOP,Fair / B,40.05,-10.17,48.28%,10.54%,0.26%,2.33%,1.77,14.6,Iron
Akshan,ADC,Weak / C,36.96,NEW,49.05%,11.91%,0.24%,2.33%,1.93,14.6,Iron
Alistar,SUPPORT,Good / A,51.75,+15.77,49.17%,92.28%,2.50%,0.98%,2.24,14.6,Iron
Amumu,JUNGLE,Strong / S,65.29,-9.05,49.38%,83.91%,4.03%,1.41%,2.33,14.6,Iron
Amumu,SUPPORT,Good / A,50.64,+3.73,49.90%,14.81%,0.60%,1.41%,2.00,14.6,Iron
Anivia,MID,Good / A,61.45,-5.37,49.04%,69.41%,1.36%,1.09%,2.50,14.6,Iron
Anivia,SUPPORT,Bad / D,17.23,-9.03,44.76%,23.61%,0.38%,1.09%,2.10,14.6,Iron
Annie,MID,Weak / C,32.89,-0.22,46.44%,80.09%,2.04%,0.89%,2.02,14.6,Iron
Annie,SUPPORT,Bad / D,0.00,-2.17,41.14%,15.46%,0.36%,0.89%,1.90,14.6,Iron
Aphelios,ADC,Weak / C,37.22,+10.59,47.94%,96.22%,4.30%,1.13%,1.87,14.6,Iron
Ashe,ADC,Strong / S,66.03,+10.44,48.38%,76.05%,12.23%,6.32%,2.10,14.6,Iron
Ashe,SUPPORT,Bad / D,17.51,-0.43,44.34%,19.44%,3.24%,6.32%,1.82,14.6,Iron
Aurelion Sol,MID,God / S+,90.64,-1.54,51.90%,88.14%,4.51%,4.40%,2.40,14.6,Iron
Azir,MID,Bad / D,23.36,+3.52,45.96%,90.59%,2.20%,0.86%,1.72,14.6,Iron
Bard,SUPPORT,Weak / C,35.48,+6.27,46.52%,94.26%,1.51%,0.51%,2.54,14.6,Iron
Bel'Veth,JUNGLE,Good / A,52.37,+3.94,48.72%,95.79%,3.00%,4.22%,1.91,14.6,Iron
Blitzcrank,SUPPORT,Good / A,62.14,-3.50,48.65%,98.10%,7.45%,26.09%,2.19,14.6,Iron
Brand,SUPPORT,Strong / S,71.96,-0.30,51.30%,60.87%,6.57%,12.37%,1.92,14.6,Iron
Brand,JUNGLE,Good / A,61.58,-6.70,49.87%,19.23%,2.28%,12.37%,2.11,14.6,Iron
Brand,MID,Good / A,57.60,+0.26,49.39%,15.00%,1.64%,12.37%,2.11,14.6,Iron
Braum,SUPPORT,Good / A,53.77,-4.16,48.97%,97.46%,2.50%,0.60%,2.58,14.6,Iron
Briar,JUNGLE,God / S+,88.41,-5.36,51.17%,93.73%,8.12%,20.36%,1.98,14.6,Iron
Caitlyn,ADC,Strong / S,72.07,+6.40,47.13%,93.98%,17.34%,14.99%,1.99,14.6,Iron
Camille,SUPPORT,Fair / B,42.14,-30.41,48.29%,58.52%,2.45%,2.66%,1.85,14.6,Iron
Camille,TOP,Bad / D,21.08,+6.46,45.16%,37.05%,1.51%,2.66%,1.62,14.6,Iron
Cassiopeia,MID,Good / A,52.63,-3.37,49.18%,74.58%,1.30%,1.29%,2.01,14.6,Iron
Cassiopeia,TOP,Fair / B,48.13,+48.13,49.62%,15.79%,0.27%,1.29%,1.71,14.6,Iron
Cho'Gath,MID,Good / A,55.18,NEW,49.58%,10.05%,0.53%,1.39%,2.08,14.6,Iron
Cho'Gath,TOP,Good / A,52.45,+5.83,48.17%,67.72%,3.18%,1.39%,1.93,14.6,Iron
Cho'Gath,SUPPORT,Fair / B,48.53,+37.88,49.73%,10.34%,0.44%,1.39%,1.94,14.6,Iron
Corki,MID,Bad / D,22.44,+16.61,45.52%,77.30%,0.89%,0.22%,2.01,14.6,Iron
Darius,TOP,Strong / S,68.94,-3.88,46.47%,91.78%,9.96%,19.90%,1.68,14.6,Iron
Diana,MID,Strong / S,69.84,+26.56,50.44%,39.02%,3.67%,3.20%,2.06,14.6,Iron
Diana,JUNGLE,Strong / S,67.71,+21.19,49.66%,58.23%,5.86%,3.20%,2.00,14.6,Iron
Dr. Mundo,TOP,Strong / S,73.68,-8.54,50.85%,87.31%,3.86%,3.51%,1.96,14.6,Iron
Draven,ADC,Fair / B,39.08,+4.69,47.94%,94.64%,3.88%,10.23%,1.97,14.6,Iron
Ekko,JUNGLE,Good / A,54.94,+8.42,48.51%,50.14%,3.34%,2.48%,2.14,14.6,Iron
Ekko,MID,Fair / B,44.75,-5.55,47.62%,45.53%,2.95%,2.48%,2.02,14.6,Iron
Elise,JUNGLE,Weak / C,26.90,-19.30,45.65%,90.61%,1.11%,0.48%,1.94,14.6,Iron
Evelynn,JUNGLE,Fair / B,40.73,+0.83,45.51%,97.77%,5.28%,4.86%,2.16,14.6,Iron
Ezreal,ADC,Fair / B,41.21,-7.72,45.23%,90.97%,12.09%,5.09%,2.09,14.6,Iron
Fiddlesticks,SUPPORT,Fair / B,40.44,-12.74,48.66%,12.79%,0.37%,0.82%,1.85,14.6,Iron
Fiddlesticks,JUNGLE,Weak / C,35.45,+2.82,46.33%,78.12%,2.13%,0.82%,2.04,14.6,Iron
Fiora,TOP,Fair / B,44.17,-7.25,47.64%,95.66%,3.56%,5.08%,1.54,14.6,Iron
Fizz,MID,Strong / S,66.47,+2.44,48.91%,94.63%,5.25%,13.48%,2.21,14.6,Iron
Galio,MID,Good / A,57.45,-1.50,49.12%,67.50%,1.92%,0.77%,2.20,14.6,Iron
Galio,SUPPORT,Good / A,52.04,-1.37,49.83%,24.34%,0.62%,0.77%,2.19,14.6,Iron
Gangplank,TOP,Weak / C,31.70,+8.81,45.83%,82.10%,2.36%,1.59%,1.80,14.6,Iron
Gangplank,MID,Bad / D,7.60,-41.13,43.79%,14.71%,0.40%,1.59%,2.02,14.6,Iron
Garen,TOP,God / S+,88.73,-1.28,50.20%,86.17%,8.87%,4.94%,2.01,14.6,Iron
Gnar,TOP,Weak / C,26.85,-12.27,45.43%,93.05%,2.13%,0.53%,1.73,14.6,Iron
Gragas,MID,Strong / S,67.04,+16.62,50.88%,14.22%,0.65%,1.66%,2.14,14.6,Iron
Gragas,TOP,Fair / B,39.14,-12.54,46.92%,37.68%,1.90%,1.66%,1.91,14.6,Iron
Gragas,JUNGLE,Weak / C,28.34,-8.60,45.27%,41.02%,2.11%,1.66%,2.04,14.6,Iron
Graves,JUNGLE,Good / A,55.21,+3.09,48.53%,86.53%,3.10%,1.54%,2.20,14.6,Iron
Gwen,TOP,Weak / C,28.41,-11.23,45.72%,81.56%,2.81%,1.71%,1.56,14.6,Iron
Gwen,JUNGLE,Bad / D,25.50,-15.34,45.84%,13.56%,0.46%,1.71%,1.88,14.6,Iron
Hecarim,JUNGLE,Weak / C,30.98,+6.03,45.38%,98.83%,2.36%,1.32%,2.12,14.6,Iron
Heimerdinger,MID,Good / A,62.61,+10.67,50.67%,25.45%,1.30%,4.16%,1.92,14.6,Iron
Heimerdinger,TOP,Good / A,52.02,+4.60,49.39%,39.94%,1.94%,4.16%,1.67,14.6,Iron
Heimerdinger,SUPPORT,Fair / B,43.31,-2.32,48.96%,27.34%,1.23%,4.16%,1.77,14.6,Iron
Hwei,MID,Fair / B,45.33,-1.12,46.71%,57.10%,4.84%,8.22%,2.13,14.6,Iron
Hwei,SUPPORT,Weak / C,26.42,-4.11,45.51%,37.05%,2.86%,8.22%,2.01,14.6,Iron
