Aatrox,TOP,Strong / S,64.52,-6.81,47.51%,95.41%,9.38%,17.41%,1.74,14.2,Iron
Ahri,MID,Fair / B,49.61,-2.66,47.22%,92.68%,6.26%,2.95%,2.10,14.2,Iron
Akali,MID,Strong / S,71.05,-7.26,47.54%,78.54%,10.78%,24.40%,2.11,14.2,Iron
Akali,TOP,Fair / B,41.62,-5.17,46.81%,20.01%,2.79%,24.40%,1.82,14.2,Iron
Akshan,MID,Weak / C,37.41,-11.15,47.33%,71.76%,2.40%,2.20%,1.92,14.2,Iron
Akshan,TOP,Bad / D,27.16,-23.09,46.00%,14.08%,0.47%,2.20%,1.70,14.2,Iron
Akshan,ADC,Bad / D,22.50,+3.12,44.79%,11.65%,0.39%,2.20%,1.84,14.2,Iron
Alistar,SUPPORT,Fair / B,42.51,-14.56,47.62%,91.86%,2.83%,1.12%,2.22,14.2,Iron
Amumu,JUNGLE,Strong / S,62.66,+1.98,49.60%,82.11%,3.68%,1.31%,2.33,14.2,Iron
Amumu,SUPPORT,Fair / B,40.34,-3.78,48.32%,16.70%,0.61%,1.31%,1.99,14.2,Iron
Anivia,MID,Good / A,60.92,+8.63,49.50%,71.86%,1.44%,1.00%,2.45,14.2,Iron
Anivia,SUPPORT,Bad / D,10.21,+2.97,43.14%,21.73%,0.35%,1.00%,2.09,14.2,Iron
Annie,MID,Weak / C,30.09,-16.38,46.51%,78.54%,1.54%,0.70%,1.98,14.2,Iron
Annie,SUPPORT,Bad / D,17.26,-16.62,44.46%,16.11%,0.30%,0.70%,2.02,14.2,Iron
Aphelios,ADC,Fair / B,44.02,-3.79,48.25%,96.61%,4.29%,1.31%,1.84,14.2,Iron
Ashe,ADC,Good / A,52.28,-7.54,48.14%,71.26%,9.21%,5.15%,2.05,14.2,Iron
Ashe,SUPPORT,Bad / D,27.44,+4.10,45.40%,24.62%,3.37%,5.15%,1.87,14.2,Iron
Aurelion Sol,MID,Strong / S,69.62,+13.43,50.66%,84.90%,2.22%,1.10%,2.36,14.2,Iron
Azir,MID,Weak / C,36.83,+8.92,47.32%,92.44%,3.37%,1.00%,1.78,14.2,Iron
Bard,SUPPORT,Good / A,54.40,-2.86,48.96%,94.64%,2.82%,0.87%,2.66,14.2,Iron
Bel'Veth,JUNGLE,Good / A,52.58,-8.66,48.81%,96.76%,3.20%,3.90%,1.86,14.2,Iron
Blitzcrank,SUPPORT,Strong / S,69.20,-10.15,49.39%,98.21%,8.39%,26.97%,2.23,14.2,Iron
Brand,JUNGLE,God / S+,86.92,+20.01,52.90%,36.40%,5.83%,17.28%,2.25,14.2,Iron
Brand,SUPPORT,Strong / S,69.85,+19.58,51.35%,47.54%,6.01%,17.28%,1.91,14.2,Iron
Brand,MID,Strong / S,64.62,+18.55,50.86%,12.01%,1.51%,17.28%,2.07,14.2,Iron
Braum,SUPPORT,Strong / S,68.65,+6.35,51.55%,97.72%,2.15%,0.46%,2.69,14.2,Iron
Briar,JUNGLE,God / S+,88.65,+6.51,51.94%,93.20%,8.83%,20.01%,1.94,14.2,Iron
Caitlyn,ADC,Strong / S,68.40,-9.86,48.13%,93.70%,19.90%,17.20%,1.99,14.2,Iron
Camille,SUPPORT,Good / A,57.93,+15.01,51.46%,11.60%,0.23%,0.96%,1.97,14.2,Iron
Camille,TOP,Bad / D,28.07,+7.61,45.77%,81.94%,1.69%,0.96%,1.62,14.2,Iron
Cassiopeia,TOP,Fair / B,41.36,-7.89,48.53%,14.06%,0.21%,1.04%,1.77,14.2,Iron
Cassiopeia,MID,Fair / B,39.45,+8.45,47.97%,74.99%,1.16%,1.04%,1.95,14.2,Iron
Cho'Gath,TOP,Good / A,53.77,-4.64,49.07%,68.78%,2.88%,1.36%,1.94,14.2,Iron
Cho'Gath,SUPPORT,Fair / B,39.06,NEW,48.22%,11.00%,0.40%,1.36%,1.96,14.2,Iron
Corki,MID,Fair / B,38.62,+18.22,47.27%,87.99%,2.50%,0.45%,2.01,14.2,Iron
Darius,TOP,Strong / S,66.43,+23.62,48.02%,92.90%,9.16%,16.93%,1.73,14.2,Iron
Diana,MID,Good / A,60.17,-7.63,50.05%,41.53%,3.14%,2.57%,1.97,14.2,Iron
Diana,JUNGLE,Fair / B,45.30,-15.68,46.89%,55.80%,4.12%,2.57%,1.89,14.2,Iron
Dr. Mundo,TOP,Strong / S,69.94,+2.23,51.66%,87.01%,3.44%,2.97%,1.96,14.2,Iron
Draven,ADC,Fair / B,40.58,-3.68,47.08%,95.29%,4.57%,12.01%,1.94,14.2,Iron
Ekko,JUNGLE,Good / A,55.19,-4.27,48.39%,50.92%,3.90%,2.98%,2.14,14.2,Iron
Ekko,MID,Good / A,55.05,-1.40,49.02%,45.36%,3.58%,2.98%,2.04,14.2,Iron
Elise,JUNGLE,Bad / D,21.95,-14.62,43.68%,89.14%,0.99%,0.44%,2.00,14.2,Iron
Evelynn,JUNGLE,Fair / B,47.14,-3.96,46.47%,97.99%,4.44%,4.46%,2.16,14.2,Iron
Ezreal,ADC,Good / A,53.88,+11.97,46.33%,91.68%,16.25%,7.17%,2.15,14.2,Iron
Fiddlesticks,JUNGLE,Weak / C,37.62,-1.42,46.18%,83.53%,2.31%,1.02%,1.95,14.2,Iron
Fiddlesticks,SUPPORT,Weak / C,29.58,NEW,46.90%,10.07%,0.30%,1.02%,1.80,14.2,Iron
Fiora,TOP,Good / A,51.57,+3.41,49.12%,95.90%,3.68%,5.94%,1.56,14.2,Iron
Fizz,MID,Strong / S,72.81,-21.96,49.05%,95.43%,7.54%,25.30%,2.15,14.2,Iron
Galio,MID,Strong / S,68.93,+0.62,50.62%,72.16%,2.72%,1.03%,2.28,14.2,Iron
Galio,SUPPORT,Fair / B,46.28,+4.22,49.00%,20.35%,0.69%,1.03%,2.19,14.2,Iron
Gangplank,MID,Fair / B,40.26,-5.35,47.98%,12.40%,0.39%,1.84%,2.09,14.2,Iron
Gangplank,TOP,Fair / B,37.98,-1.01,46.91%,84.41%,2.36%,1.84%,1.75,14.2,Iron
Garen,TOP,Strong / S,72.15,+14.91,49.64%,87.92%,7.84%,3.83%,2.06,14.2,Iron
Gnar,TOP,Fair / B,44.02,+3.49,47.98%,92.56%,2.08%,0.50%,1.83,14.2,Iron
Gragas,MID,Strong / S,66.70,+29.19,51.26%,14.72%,0.62%,0.84%,2.18,14.2,Iron
Gragas,JUNGLE,Fair / B,39.31,+14.57,46.30%,53.05%,2.24%,0.84%,2.07,14.2,Iron
Gragas,TOP,Weak / C,35.46,-3.70,46.83%,25.02%,1.04%,0.84%,1.87,14.2,Iron
Graves,JUNGLE,Strong / S,65.77,-0.43,49.48%,91.53%,5.41%,3.38%,2.25,14.2,Iron
Gwen,JUNGLE,Fair / B,45.96,NEW,48.82%,10.95%,0.43%,2.38%,1.91,14.2,Iron
Gwen,TOP,Weak / C,36.33,-6.55,46.49%,85.05%,3.53%,2.38%,1.56,14.2,Iron
Hecarim,JUNGLE,Weak / C,33.04,-7.00,44.72%,98.77%,2.95%,1.78%,2.06,14.2,Iron
Heimerdinger,MID,Good / A,54.93,+0.18,50.50%,30.01%,1.05%,2.13%,1.79,14.2,Iron
Heimerdinger,TOP,Fair / B,46.58,-4.91,49.49%,27.54%,0.97%,2.13%,1.61,14.2,Iron
Heimerdinger,SUPPORT,Weak / C,36.40,+5.30,47.90%,32.91%,1.06%,2.13%,1.74,14.2,Iron
Hwei,MID,Fair / B,40.23,+4.15,46.47%,54.28%,4.36%,7.31%,2.12,14.2,Iron
Hwei,SUPPORT,Bad / D,24.27,+8.07,44.87%,38.01%,2.82%,7.31%,1.96,14.2,Iron
Illaoi,TOP,Strong / S,66.77,+20.92,51.27%,93.57%,4.67%,13.17%,1.52,14.2,Iron
Irelia,MID,Good / A,57.29,+18.73,49.97%,52.84%,3.61%,7.31%,1.76,14.2,Iron
Irelia,TOP,Fair / B,37.81,-2.23,46.97%,45.13%,3.26%,7.31%,1.49,14.2,Iron
Ivern,JUNGLE,Fair / B,37.63,-13.81,45.77%,77.45%,1.02%,0.52%,2.45,14.2,Iron
Ivern,SUPPORT,Bad / D,20.79,+0.08,44.77%,14.80%,0.17%,0.52%,2.24,14.2,Iron
Janna,SUPPORT,Good / A,59.13,+6.03,49.77%,97.66%,2.25%,0.46%,2.78,14.2,Iron
Jarvan IV,JUNGLE,Good / A,55.35,+2.89,47.91%,90.46%,2.76%,0.95%,2.67,14.2,Iron
Jax,JUNGLE,Strong / S,66.84,-7.22,49.21%,49.35%,6.82%,17.34%,1.86,14.2,Iron
Jax,TOP,Fair / B,49.12,-23.40,46.79%,47.63%,6.88%,17.34%,1.47,14.2,Iron
Jayce,MID,Bad / D,28.02,-13.51,46.56%,42.18%,1.32%,1.46%,1.87,14.2,Iron
Jayce,TOP,Bad / D,24.43,-4.39,45.02%,53.72%,1.75%,1.46%,1.64,14.2,Iron
Jhin,ADC,God / S+,81.81,-3.97,50.61%,95.87%,17.04%,7.45%,2.63,14.2,Iron
