Aatrox,TOP,Good / A,50.73,+3.32,46.13%,93.61%,7.04%,12.51%,1.64,14.7,Iron
Ahri,MID,God / S+,79.19,-2.10,48.73%,94.00%,11.70%,10.70%,2.29,14.7,Iron
Akali,MID,Good / A,57.62,-2.13,46.85%,79.60%,8.85%,17.87%,2.13,14.7,Iron
Akali,TOP,Weak / C,30.13,-10.26,45.34%,18.68%,2.23%,17.87%,1.83,14.7,Iron
Akshan,MID,Fair / B,45.03,+1.06,48.22%,76.15%,1.72%,2.38%,2.02,14.7,Iron
Akshan,TOP,Fair / B,42.81,+2.76,48.69%,10.71%,0.25%,2.38%,1.79,14.7,Iron
Akshan,ADC,Bad / D,23.72,-13.24,47.06%,10.87%,0.23%,2.38%,1.84,14.7,Iron
Alistar,SUPPORT,Fair / B,42.24,-9.50,47.86%,92.39%,2.49%,1.01%,2.20,14.7,Iron
Amumu,JUNGLE,Strong / S,64.55,-0.74,50.31%,83.62%,3.76%,1.38%,2.36,14.7,Iron
Amumu,SUPPORT,Good / A,58.28,+7.63,51.14%,14.86%,0.61%,1.38%,2.02,14.7,Iron
Anivia,MID,Strong / S,62.29,+0.85,49.51%,67.94%,1.34%,1.13%,2.53,14.7,Iron
Anivia,SUPPORT,Bad / D,8.35,-8.88,43.31%,24.17%,0.39%,1.13%,2.15,14.7,Iron
Annie,MID,Weak / C,34.49,+1.60,46.69%,79.82%,1.90%,0.91%,2.01,14.7,Iron
Annie,SUPPORT,Bad / D,24.13,+24.13,46.00%,15.74%,0.37%,0.91%,1.98,14.7,Iron
Aphelios,ADC,Weak / C,39.15,+1.94,47.98%,96.26%,4.20%,1.16%,1.86,14.7,Iron
Ashe,ADC,Strong / S,69.77,+3.75,48.73%,77.33%,12.91%,6.89%,2.12,14.7,Iron
Ashe,SUPPORT,Bad / D,11.56,-5.95,43.55%,18.33%,3.06%,6.89%,1.79,14.7,Iron
Aurelion Sol,MID,God / S+,92.20,+1.56,52.59%,89.01%,5.27%,5.42%,2.45,14.7,Iron
Azir,MID,Bad / D,22.19,-1.17,45.37%,90.93%,2.82%,0.90%,1.73,14.7,Iron
